mz,sn,,mz,sn,,,,mzmin,mzmax,rt,rtmin,rtmax,into,intb,maxo,,sample
108.0518637,228,,107.0490427,26261,-9280.92228,#N/A,,108.0518341,108.0518951,330.143,322.676,337.552,2041873.897,2019719.401,266789.6563,,1
108.0518652,13,,107.0490454,55486,-9280.911472,#N/A,,108.0517807,108.052002,427.248,421.649,433.214,70998.89486,58522.60981,16573.58203,,1
108.0519078,77,,107.049046,106407,-9281.296608,#N/A,,108.0518799,108.0519409,178.045,171.01,183.452,596921.4313,582782.0576,82875.1875,,1
108.051908,71,,107.0490462,35734,-9281.296367,#N/A,,108.0518799,108.0519409,192.835,188.704,201.225,728222.2051,713993.0539,76296.21094,,1
108.922917,39,,107.0490471,32067,-17203.63308,#N/A,,108.9227829,108.9229279,579.008,575.161,584.165,649397.5822,641223.2227,145225.5,,1
108.9229308,52903,,107.0490494,55637,-17203.7368,#N/A,,108.9229202,108.9229431,359.852,354.024,365.837,276883.6413,276871.8283,52904.36719,,1
108.9571868,115,,107.0490494,3599518,-17512.72704,#N/A,,108.9571609,108.957222,349.421,342.034,357.011,269362.0681,268445.1132,37399.93359,,1
109.0100945,24,,107.0490496,1069677,-17989.57211,#N/A,,109.0100632,109.0101776,405.849,401.477,410.152,120545.7832,114614.9183,28465.68359,,1
109.0101007,20,,107.0490514,63562,-17989.6107,#N/A,,109.0100403,109.01017,321.053,316.44,328.714,36611.81421,35466.60547,5993.464844,,1
109.0278421,23,,107.0490518,33760,-18149.40308,#N/A,,109.0278168,109.0278549,73.4959,68.0904,84.0715,4602493.635,4060260.847,439991.9063,,1
109.0470948,34,,107.0490525,47754,-18322.74616,#N/A,,109.0470123,109.0472031,73.4959,68.0904,81.4574,242955.3907,231149.0975,36232.51172,,1
109.0529372,8840,,107.0490536,28561,-18375.32829,#N/A,,109.0527496,109.0530319,330.143,324.17,335.926,52103.32406,52091.56806,8841.268555,,1
109.0552053,9106,,107.0490546,63711,-18395.73569,#N/A,,109.0551147,109.0552826,328.714,322.676,335.926,62974.66283,62962.88505,9107.317383,,1
109.0642151,23,,107.0490584,37608,-18476.79041,#N/A,,109.0641861,109.0642471,335.926,330.143,342.034,730834.3608,643904.3658,126524.7266,,1
109.9181,114,,107.0490606,37347,-26101.61034,#N/A,,109.918,109.9182,684.127,679.056,691.578,4756193,4742825,711953.3,,1
109.9222896,45703,,107.0490606,24928,-26138.729,#N/A,,109.9222565,109.9222946,534.856,532.302,538.857,142579.1685,142573.9245,45704.37109,,1
110.0053409,5896,,107.0490614,952404,-26873.96384,#N/A,,110.0052719,110.0054932,398.487,394.094,401.477,19234.80769,19228.90129,5897.447754,,1
110.0312334,17,,107.0490614,39127,-27102.95889,#N/A,,110.0311813,110.0312805,73.4959,68.0904,84.0715,292732.0494,255357.1642,29544.75586,,1
110.0343,24941,,107.0490656,27097,-27130.03509,#N/A,,110.0342,110.0343,1173.02,1170.45,1176.91,67819.96,67814.8,24941.83,,1
110.0594639,40,,107.0490699,38722,-27352.43147,#N/A,,110.0594406,110.0594788,73.4959,68.0904,82.7537,1386601.52,1348594.493,149131.4063,,1
110.0676304,25,,107.0490715,45882,-27424.58306,#N/A,,110.0675583,110.0676727,334.473,330.143,340.542,45601.17882,43745.10431,9374.677734,,1
110.9187055,9139,,107.0490837,35118,-34887.00853,#N/A,,110.9186859,110.9187317,358.445,355.518,364.386,42862.06639,42854.67639,9140.186523,,1
110.9385,125,,107.0784838,1628,-34794.19893,#N/A,,110.9384,110.9385,690.379,686.586,696.623,7594557,7545947,1124153,,1
110.9385,123,,107.9570947,42,-26874.39672,#N/A,,110.9384,110.9386,681.608,677.831,686.586,5606450,5563376,1107741,,1
110.9401752,2653,,107.9571473,21,-26888.61685,#N/A,,110.9401321,110.9402618,460.526,456.215,463.451,10720.45358,10714.66478,2653.540527,,1
110.9563,34,,107.9613222,7093,-26992.40862,#N/A,,110.9563,110.9563,550.487,541.568,560.934,13173601,12066845,2114824,,1
110.9563,60,,107.9652615,9060,-26956.90554,#N/A,,110.9563,110.9564,608.956,598.565,619.176,23346599,22173293,3679000,,1
110.9563,433,,108.0054911,51,-26594.33422,#N/A,,110.9563,110.9563,691.578,686.586,703.055,267184796,266234552,27574616,,1
110.9563,263,,108.0188431,18,-26473.9986,#N/A,,110.9563,110.9564,680.351,675.116,686.586,63115886,62433069,16029536,,1
110.9563,39,,108.0416277,143181,-26268.65059,#N/A,,110.9563,110.9563,745.278,740.182,752.973,23830967,23077124,2447144,,1
110.9563,111,,108.0416406,169835,-26268.53421,#N/A,,110.9563,110.9563,714.612,709.393,719.735,57667725,57044363,6823312,,1
110.9739,212233,,108.0443058,37,-26398.9478,#N/A,,110.9738,110.974,692.854,689.106,703.055,1923402,1923388,212234.5,,1
110.974,94093,,108.0523367,13,-26327.45738,#N/A,,110.9739,110.9742,718.454,706.86,724.862,976435.8,976417.8,94093.67,,1
110.974,92637,,108.0523722,244,-26327.1375,#N/A,,110.974,110.9741,706.86,703.055,710.672,514167,514158.1,92638.48,,1
110.974,70227,,108.0524133,71,-26326.76747,#N/A,,110.9739,110.9741,723.561,721.038,724.862,157574.1,157570.3,70228.18,,1
110.9741,42,,108.0524231,77,-26327.55654,#N/A,,110.974,110.9742,951.142,944.695,956.267,2703537,2635958,535761.6,,1
110.9836,93854,,108.923373,43,-18563.34602,#N/A,,110.9835,110.9837,1062.94,1058.95,1066.93,277054.6,277048,93855.27,,1
111.0070904,19,,108.9234405,132,-18770.42185,#N/A,,111.0070801,111.0071106,407.252,401.477,413.181,1033198.557,781018.9623,206583.7031,,1
111.0071,31500,,108.9577019,115,-18461.86525,#N/A,,111.0071,111.0072,644.065,640.148,646.659,102019.9,102014.7,31500.71,,1
111.0234947,68,,108.995043,30,-18270.47222,#N/A,,111.0234451,111.0235214,281.622,275.52,287.721,119384.321,118083.1656,20579.24805,,1
111.0434633,37,,109.0105572,28,-18307.30107,#N/A,,111.0434341,111.0434799,156.156,150.275,163.651,6855464.64,6261727.48,646838.625,,1
111.0434757,78,,109.0105688,27,-18307.30558,#N/A,,111.043457,111.0435028,103.29,96.252,109.087,14930258.22,14360535.1,1299215.75,,1
111.0434784,52,,109.0106173,20,-18306.89346,#N/A,,111.0434647,111.0434952,144.444,140.023,150.275,8371468.043,7903397.808,880646.0625,,1
